127.0.0.1 - - [17/Jul/2017:15:53:37 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1783
127.0.0.1 - - [17/Jul/2017:15:53:37 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:15:53:38 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:15:53:38 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:15:53:38 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1783
127.0.0.1 - - [17/Jul/2017:15:53:38 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:15:53:38 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:15:53:38 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:15:59:24 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:15:59:24 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:15:59:24 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:15:59:24 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
127.0.0.1 - - [17/Jul/2017:15:59:24 +0800] "GET /SpringMVC/js/addRecipe.js HTTP/1.1" 200 1670
127.0.0.1 - - [17/Jul/2017:15:59:24 +0800] "GET /SpringMVC/images/upload.jpg HTTP/1.1" 200 5151
127.0.0.1 - - [17/Jul/2017:16:03:43 +0800] "GET /SpringMVC/home/addRecipe HTTP/1.1" 200 13599
127.0.0.1 - - [17/Jul/2017:16:03:43 +0800] "GET /SpringMVC/css/D3.css HTTP/1.1" 200 682346
127.0.0.1 - - [17/Jul/2017:16:03:43 +0800] "GET /SpringMVC/css/D3_2.css HTTP/1.1" 200 39452
127.0.0.1 - - [17/Jul/2017:16:03:43 +0800] "GET /SpringMVC/js/jquery-3.2.0.min.js HTTP/1.1" 200 86600
